#JD1 JD2 X1 Y1 Z1 X2 Y2 Z2 X3 Y3 Z3
3095
2458632.78  44.00 -111130066.031 -103032813.816    2233370.678 -107262188.640 -105434633.480     200346.236 -109213104.606 -101429362.628   -2117231.587
2458633.78  45.00 -109380372.123 -104871523.263    2212879.809 -105472150.528 -107260924.907     244997.285 -107432642.719 -103297836.301   -2135458.926
2458634.78  46.00 -107599545.184 -106680384.646    2191759.081 -103651417.236 -109056002.519     289577.046 -105620040.399 -105135408.177   -2153047.371
2458635.78  47.00 -105788084.419 -108458875.525    2170014.351 -101800533.760 -110819359.834     334072.586 -103775833.305 -106941521.958   -2169991.527
2458636.78  48.00 -103946497.644 -110206481.475    2147651.646  -99920053.133 -112550499.908     378471.010 -101900566.843 -108715630.598   -2186286.189
2458637.78  49.00 -102075301.164 -111922696.216    2124677.168  -98010536.265 -114248935.446     422759.464  -99994796.014 -110457196.481   -2201926.345
2458638.78  50.00 -100175019.654 -113607021.752    2101097.287  -96072551.771 -115914188.918     466925.136  -98059085.249 -112165691.589   -2216907.180
2458639.78  51.00  -98246186.041 -115258968.505    2076918.543  -94106675.800 -117545792.670     510955.261  -96094008.241 -113840597.672   -2231224.076
2458640.78  52.00  -96289341.380 -116878055.446    2052147.645  -92113491.871 -119143289.033     554837.127  -94100147.782 -115481406.420   -2244872.614
2458641.78  53.00  -94305034.724 -118463810.228    2026791.466  -90093590.691 -120706230.427     598558.074  -92078095.583 -117087619.621   -2257848.572
2458642.78  54.00  -92293823.007 -120015769.314    2000857.045  -88047569.994 -122234179.460     642105.498  -90028452.110 -118658749.326   -2270147.935
2458643.78  55.00  -90256270.907 -121533478.106    1974351.584  -85976034.357 -123726709.030     685466.857  -87951826.396 -120194318.002   -2281766.886
2458644.78  56.00  -88192950.716 -123016491.073    1947282.445  -83879595.031 -125183402.424     728629.674  -85848835.866 -121693858.695   -2292701.816
2458645.78  57.00  -86104442.212 -124464371.875    1919657.153  -81758869.763 -126603853.405     771581.535  -83720106.150 -123156915.173   -2302949.318
2458646.78  58.00  -83991332.518 -125876693.487    1891483.388  -79614482.621 -127987666.307     814310.100  -81566270.900 -124583042.080   -2312506.197
2458647.78  59.00  -81854215.971 -127253038.320    1862768.988  -77447063.813 -129334456.119     856803.101  -79387971.595 -125971805.079   -2321369.460
2458648.78  60.00  -79693693.976 -128592998.348    1833521.947  -75257249.511 -130643848.574     899048.346  -77185857.355 -127322780.997   -2329536.327
2458649.78  61.00  -77510374.873 -129896175.217    1803750.410  -73045681.670 -131915480.230     941033.722  -74960584.738 -128635557.958   -2337004.228
2458650.78  62.00  -75304873.787 -131162180.374    1773462.676  -70813007.852 -133148998.546     982747.200  -72712817.550 -129909735.525   -2343770.801
2458651.78  63.00  -73077812.488 -132390635.174    1742667.189  -68559881.038 -134344061.961    1024176.836  -70443226.639 -131144924.825   -2349833.899
2458652.78  64.00  -70829819.244 -133581170.996    1711372.546  -66286959.455 -135500339.964    1065310.776  -68152489.697 -132340748.682   -2355191.587
2458653.78  65.00  -68561528.668 -134733429.361    1679587.484  -63994906.386 -136617513.170    1106137.256  -65841291.049 -133496841.740   -2359842.141
2458654.78  66.00  -66273581.574 -135847062.035    1647320.889  -61684389.993 -137695273.383    1146644.608  -63510321.451 -134612850.581   -2363784.055
2458655.78  67.00  -63966624.818 -136921731.144    1614581.784  -59356083.132 -138733323.664    1186821.260  -61160277.874 -135688433.849   -2367016.034
2458656.78  68.00  -61641311.147 -137957109.278    1581379.336  -57010663.168 -139731378.389    1226655.743  -58791863.297 -136723262.355   -2369537.001
