-4.099737732050e+00 -3.876128e+01
-3.622645428366e+00 -3.870583e+01
-3.400802469189e+00 -3.876434e+01
-3.254676915150e+00 -3.886497e+01
-3.145533824420e+00 -3.893586e+01
-3.058384526055e+00 -3.902227e+01
-2.985834466306e+00 -3.909564e+01
-2.923687004985e+00 -3.918344e+01
-2.869329683283e+00 -3.927666e+01
-2.821025272620e+00 -3.934384e+01
-2.777559796529e+00 -3.944465e+01
-2.738051435077e+00 -3.951234e+01
-2.701839413481e+00 -3.962278e+01
-2.668415786673e+00 -3.968653e+01
-2.637381663864e+00 -3.980511e+01
-2.608418064545e+00 -3.991798e+01
-2.581265903407e+00 -4.012585e+01
-2.555711874137e+00 -4.048480e+01
-2.531578261493e+00 -4.078096e+01
-2.508715438727e+00 -4.108094e+01
-2.486996243354e+00 -4.136907e+01
-2.466311693762e+00 -4.158272e+01
-2.446567680454e+00 -4.184668e+01
-2.427682377362e+00 -4.199944e+01
-2.409584192984e+00 -4.212497e+01
