#realID srcID z M1 q lamS betS phL thL phi0 tc a1 a2 thS1 thS2 phS1 phS2 per e DL0(Mpc)  Mcz  eta  thBS1 thBS2 phBS1 phBS2
    0    0 1.000000000000 0.25000000E+06 0.998 0.42777722E+01 0.33640492E-01 0.57976519E+01 0.23823719E+01 0.55630098E+01 0.6E+08 1.00000000E-04 1.00000000E-04 0.11207653E+01 0.61995150E+00 0.10898862E+01 0.47506434E+01 0.13720669E+00 0.34604467E-0 6607.65761177 434839.74494 0.249999749499 1.35331241696 3.00163838723 0.00932089150459 5.7065963978
    1     8 0.73646679E+01 0.28527985E+05 0.42081516E+00 0.19852432E+00 -.54891284E+00 0.29366935E+01 0.68608791E+00 0.23285141E+01 0.11938622E+08 0.13783001E-01 0.19683732E-01 0.17213017E+01 0.19590073E+01 0.45509875E+01 0.17951733E+01 0.10021301E+01 0.17543327E-0 73184.2197664 132332.680695 0.208456869911 2.127777963 1.33768392422 1.86856806824 5.63676271506
    1    11 0.93305963E+01 0.66582130E+04 0.87465820E+00 0.23833162E+01 0.19032088E-01 0.59931964E+01 0.18881088E+01 0.12664601E+01 0.40582406E+08 0.21855386E-01 0.11190216E-01 0.19839307E+01 0.22290804E+01 0.52505205E+01 0.18895140E+00 0.23838641E+01 0.39360491E-0 95971.5040709 55975.9765418 0.248882396711 0.0968332704754 1.11807224366 2.99372249111 3.83247841087
    1    27 0.56510123E+01 0.17489129E+06 0.76750960E+00 0.17064724E+01 0.30647134E+00 0.52342979E+01 0.18395538E+01 0.32701029E+01 0.45586253E+08 0.16642130E-01 0.57209926E-02 0.28847537E+01 0.19163334E+01 0.48723477E+01 0.25752605E+01 0.28928921E+01 0.78348821E-0 53835.8856458 885592.369033 0.245674597813 1.05912726774 1.84649916162 2.18325588945 0.980874215043
